textid,sentenceID,activityID,activity,verb,object,IT system,process volume,repetitve,human intervention,GS
p104,13,11,accept the requirements,accept,requirements,0,low,0,1,0
p104,15,12,verify the specifications,verify,specifications,0,low,0,1,0
p104,16,13,check the design,check,design,0,low,0,1,0
p104,18,14,accept the design,accept,design,0,low,0,1,0
p104,23,19,implement the design,implement,design,0,low,0,1,0
p104,25,21,integrate the design,integrate,design,0,low,0,1,0
p104,27,23,finalize the integration,finalize,integration,0,low,0,1,0
p104,29,25,launch the model,launch,model,0,low,0,1,0
p105,3,4,prepare the order,prepare,order,0,low,1,1,0
p105,7,8,check the credit card,check,credit card,0,low,0,1,0
p105,8,9,validate the credit card,validate,credit card,0,low,0,1,0
p105,9,10,verify the email address,verify,email address,0,low,0,1,0
p105,10,11,validate the email address,validate,email address,0,low,0,1,0
p106,1,2,verify the credit card system,verify,system,0,low,0,1,0
p106,2,3,check the default payment,check,payment,0,low,0,1,0
p106,10,12,send the book,send,book,0,low,0,1,0
p106,11,14,conduct the complete order,conduct,order,0,low,0,1,0
p107,0,1,decides to buy a book,decides,book,0,low,0,1,0
p107,1,2,open the online website,open,website,0,low,0,1,0
p107,2,3,find the book title,find,book title,0,low,0,1,0
p107,8,9,process the request,process,request,0,low,0,1,0
p107,11,12,add the book to the shopping cart,add,book,0,low,0,1,0
p107,17,17,find the available amount,find,amount,0,low,0,1,0
p107,18,18,reject the shipment,reject,shipment,0,low,0,1,0
p107,22,22,prepare the shipment,prepare,shipment,0,low,1,1,0
p108,0,1,prepare a requisition,prepare,requisition,0,low,0,1,0
p108,1,2,prepare the request,prepare,request,0,low,0,1,0
p108,2,3,check the request,check,request,0,low,0,1,0
p108,3,4,check the quote,check,quote,0,low,1,1,0
p108,4,5,evaluate the rfq,evaluate,rfq,0,low,0,1,0
p108,9,9,review the rfq,review,rfq,0,low,0,1,0
p108,10,10,prepare the quote,prepare,quote,0,low,0,1,0
p108,11,11,review the quote,review,quote,0,low,1,1,0
p108,12,12,check the quote,check,quote,0,low,1,1,0
p108,15,14,prepare the quote response,prepare,response,0,low,0,1,0
p108,18,17,review the quote response,review,response,0,low,0,1,0
p108,20,19,prepare the order,prepare,order,0,low,1,1,0
p108,22,21,review the order,review,order,0,medium,1,1,0
p108,25,23,accept the order,accept,order,0,low,1,1,0
p108,26,24,fulfill the order,fulfill,order,0,low,1,1,0
p108,27,25,receive the ordered items,receive,items,0,low,0,1,0
p108,28,26,prepare the invoice,prepare,invoice,0,low,1,1,0
p108,32,30,conduct the resend order,conduct,order,0,low,0,1,0
p109,0,1,prepare a new request,prepare,request,0,low,0,1,0
p109,3,4,check the info,check,info,0,low,0,1,0
p109,9,9,check the emergency,check,emergency,0,low,0,1,0
p109,11,11,check the stl housing concern,check,concern,0,low,0,1,0
p109,20,19,correct the problem,correct,problem,0,low,0,1,0
p109,22,22,assign the routine or priority order,assign,order,0,low,0,1,0
p109,23,23,check the assigned order,check,order,0,low,0,1,0
p109,26,26,advise the options,advise,options,0,low,0,1,0
p109,32,31,inspect the work,inspect,work,0,low,0,1,0
p109,34,32,check the cleared escort,check,escort,0,low,0,1,0
p109,38,36,arrange the clear escort,arrange,escort,0,low,0,1,0
p109,39,38,assign the work to work order clerk,assign,work,0,low,0,1,0
p109,40,39,perform the work,perform,work,0,low,0,1,0
p109,41,41,complete the work order,complete,order,0,low,0,1,0
p109,44,44,close the work order,close,order,0,low,0,1,0
p109,45,45,complete the satisfaction survey,complete,survey,0,low,0,1,0
p11,0,1,identify a payment method,identify,method,0,low,0,1,0
p11,3,3,accept the cash,accept,cash,0,low,0,1,0
p11,4,4,prepare the package,prepare,package,0,low,0,1,0
p11,6,7,accept credit card,accept,card,0,low,0,1,0
p11,10,11,prepare the invoice,prepare,invoice,0,low,1,1,0
p110,0,1,buy a product,buy,product,0,low,0,1,0
p110,1,2,fill the credit form,fill,form,0,low,0,1,0
p110,4,5,check the credit,check,credit,0,low,1,1,0
p110,5,6,get the credit criteria,get,criteria,0,low,0,1,0
p110,6,7,review the receivable accounts,review,accounts,0,low,0,1,0
p110,7,8,calculate the credit terms,calculate,terms,0,low,0,1,0
p111,2,3,review the request,review,request,0,medium,1,1,0
p111,4,5,conduct the risk assessment,conduct,assessment,0,low,0,1,0
p111,6,8,analyze the requirements,analyze,requirements,0,low,0,1,0
p111,8,9,conduct the positive risk assessment,conduct,assessment,0,low,0,1,0
p111,9,10,setups the loan contract,setups,contract,0,low,0,1,0
p111,11,11,fulfill the loan request,fulfill,request,0,low,0,1,0
p111,14,13,reject the loan request,reject,request,0,low,1,1,0
p112,3,2,give the department feed back,give,feedback,0,low,0,1,0
p112,5,3,give the client feedback,give,feedback,0,low,0,1,0
p112,6,5,collect the feedback,collect,feedback,0,low,0,1,0
p112,7,6,assess the feedback,assess,feedback,0,low,0,1,0
p112,10,7,send the letter,send,letter,0,low,1,1,0
p113,4,4,investigate the demographics,investigate,demographics,0,low,0,1,0
p113,5,5,review the insurance policy,review,policy,0,low,1,1,0
p114,1,2,describe the illness,describe,illness,0,low,0,1,0
p114,2,3,receive the symptoms,receive,symptoms,0,low,0,1,0
p114,3,4,examine the symptoms,examine,symptoms,0,low,0,1,0
p114,4,5,consider the suitable drugs,consider,drugs,0,low,0,1,0
p114,5,6,ask for cost,ask,cost,0,low,0,1,0
p114,9,10,check the specification,check,specification,0,low,0,1,0
p114,9,11,check requirmentses,check,requirments,0,low,0,1,0
p115,3,3,check the booking request details,check,details,0,low,0,1,0
p115,4,4,check the flights details,check,flights,0,low,0,1,0
p115,5,5,check the availablity,check,availablity,0,low,0,1,0
p115,11,11,find the available flight,find,flight,0,low,0,1,0
p115,12,12,conduct the alternative flight offered,conduct,flight,0,low,0,1,0
p115,14,14,review the offer,review,offer,0,low,1,1,0
p116,2,4,review the ticket,review,ticket,0,low,0,1,0
p116,7,9,resolve the issue,resolve,issue,0,low,1,1,0
p116,13,15,review the issue,review,issue,0,low,0,1,0
p117,3,4,verify the request,verify,request,0,low,0,1,0
p117,4,5,reserve the fuel type,reserve,fuel type,0,low,0,1,0
p117,7,8,provide the info,provide,info,0,low,0,1,0
p117,10,11,look up at the subscription,look,subscription,,low,0,1,0
p117,11,12,deliver the fuel,deliver,fuel,0,low,0,1,0
p117,12,13,conduct the complete fuel process,conduct,process,0,low,0,1,0
p117,13,14,search the customer data,search,data,0,low,0,1,0
p118,1,2,verify the creditcard,verify,creditcard,0,low,0,1,0
p118,2,3,check the balance,check,balance,0,low,1,1,0
p118,4,5,find the insufficient balance,find,balance,0,low,0,1,0
p118,5,6,reject the order,reject,order,0,medium,1,1,0
p118,7,8,find the sufficent balance,find,balance,0,low,1,1,0
p118,9,10,process the logging,process,logging,0,low,0,1,0
p118,12,13,process the activity order,process,order,0,low,0,1,0
p118,15,16,process the airline order,process,order,0,low,0,1,0
p119,1,2,check the claim details,check,details,0,low,0,1,0
p119,2,3,express claim,express,claim,0,low,0,1,0
p119,8,9,conduct the high touch claim,conduct,claim,0,low,0,1,0
p119,10,12,conduct the handled claim,conduct,claim,0,low,0,1,0
p12,1,2,check the vacation rights,check,rights,0,low,0,1,0
p12,3,3,reject the vacations,reject,vacations,0,low,0,1,0
p12,5,5,accept the vacations,accept,vacations,0,low,0,1,0
p12,7,7,calculate the documentation,calculate,documentation,0,low,0,1,0
p12,7,8,provide the documentation,provide,documentation,0,low,0,1,0
p12,9,10,deliver the vacations doumentation,deliver,doumentation,0,low,0,1,0
p120,2,4,access the documents,access,documents,0,low,0,1,0
p120,3,5,investigate the claim,investigate,claim,0,low,0,1,0
p120,4,6,review to complete ,review,complete,0,low,0,1,0
p120,5,7,review the insurance policy,review,policy,0,low,0,1,0
p120,11,13,fulfill the requirements,fulfill,requirements,0,low,0,1,0
p121,2,3,open the registration screen,open,screen,0,low,1,1,0
p122,6,6,conduct the complaint created,conduct,complaint,0,low,0,1,0
p122,9,10,assign the incoming email,assign,email,0,low,0,1,0
p122,10,11,read the email,read,email,0,low,0,1,0
p122,12,14,assign the category mannually,assign,category,0,low,0,1,0
p122,13,15,conduct the customer claim,conduct,claim,0,low,0,1,0
p122,14,16,assign the category,assign,category,0,low,1,1,0
p122,15,19,assign the category,assign,category,0,low,1,1,0
p123,0,1,receive the goods,receive,goods,0,medium,1,1,0
p123,2,3,receive the goods,receive,goods,0,medium,1,1,0
p123,3,4,check the quality,check,quality,0,low,1,1,0
p123,6,6,store the goods receipt,store,receipt,0,low,1,1,0
p123,10,9,create the inspection report,create,report,0,low,0,1,0
p123,12,11,return the goods,return,goods,0,low,1,1,0
p124,0,1,give an order,give,order,0,low,1,1,0
p124,5,5,find the available funds,find,funds,0,low,1,1,0
p124,6,6,add the funds,add,funds,0,low,1,1,0
p124,8,9,process the customer order,process,order,0,low,1,1,0
p124,9,10,check the inventory,check,inventory,0,low,1,1,0
p124,12,13,prepare the purchase requisition,prepare,requisition,0,low,1,1,0
p124,13,14,purchase the order,purchase,order,0,low,1,1,0
p124,17,16,pack the product,pack,product,0,low,1,1,0
p124,18,17,deliver the product,deliver,product,0,low,1,1,0
p125,2,3,prepare the goods acquisition,prepare,acquisition,0,low,0,1,0
p125,3,4,check the quality,check,quality,0,low,1,1,0
p125,10,9,package the goods,package,goods,0,low,1,1,0
p125,13,13,get the goods to deliver ,get,goods,0,low,0,1,0
p125,14,14,deliver the goods,deliver,goods,0,low,1,1,0
p125,15,15,get the ordered goods,get,goods,0,low,0,1,0
p126,1,2,develop the project budget,develop,budget,0,low,0,1,0
p126,3,4,invite the candidates,invite,candidates,0,low,1,1,0
p126,4,5,build up the project bid,build up,bid,0,low,0,1,0
p126,5,6,review the list,review,list,0,low,0,1,0
p126,7,8,sign the contract,sign,contract,0,low,1,1,0
p126,10,10,monitor the project,monitor,project,0,low,0,1,0
p126,11,12,review the updates,review,updates,0,low,1,1,0
p127,0,1,review the short listed candidates,review,candidates,0,low,0,1,0
p127,2,3,offer package,offer,package,0,low,0,1,0
p127,3,4,receive the offer package,receive,package,0,low,0,1,0
p127,4,5,review the package,review,package,0,low,0,1,0
p127,6,6,reject the package,reject,package,0,low,0,1,0
p127,10,10,accept the package,accept,package,0,low,0,1,0
p127,11,12,manager forwards the package,manager,package,0,low,0,1,0
p127,13,14,review the offer,review,offer,0,low,1,1,0
p127,15,16,reject the offer,reject,offer,0,low,1,1,0
p127,16,17,review the non acceptance,review,acceptance,0,low,0,1,0
p127,18,19,accept the offer,accept,offer,0,low,1,1,0
p128,2,3,check the request completion,check,completion,0,low,0,1,0
p128,3,4,determine the customer status,determine,status,0,low,0,1,0
p128,5,6,prepare the response,prepare,response,0,low,0,1,0
p128,8,9,determine the premium,determine,premium,0,low,0,1,0
p128,9,10,assess the policy,assess,policy,0,low,0,1,0
p129,0,1,admit a patient,admit,patient,0,low,0,1,0
p129,1,2,perform the checkup,perform,checkup,0,low,0,1,0
p129,2,3,examine the patient,examine,patient,0,low,0,1,0
p129,4,5,discuss the risks,discuss,risks,0,low,0,1,0
p129,5,6,examine the anesthesia,examine,anesthesia,0,low,0,1,0
p129,7,8,schedule the surgery,schedule,surgery,0,low,0,1,0
p129,8,9,check the patient record,check,record,0,low,0,1,0
p129,9,10,send the patient to the surgical suite,send,patient,0,low,0,1,0
p129,10,11,perform the surgery,perform,surgery,0,low,0,1,0
p129,11,12,transport the patient,transport,patient,0,low,0,1,0
p129,12,13,receive the patient,receive,patient,0,low,0,1,0
p129,15,15,provide the prostsurgical care,provide,care,0,low,0,1,0
p129,16,16,create the surgical report,create,report,0,low,0,1,0
p129,17,18,write the discharge letter,write,letter,0,low,0,1,0
p129,18,19,discharge the patient,discharge,patient,0,low,0,1,0
p13,0,1,order a cheque book,order,book,0,low,0,1,0
p13,5,5,process the order,process,order,0,low,1,1,0
p13,6,6,deliver the cheque book,deliver,book,0,low,0,1,0
p13,7,7,receive the cheque book,receive,book,0,low,1,1,0
p13,9,9,receive the cheque book,receive,book,0,low,1,1,0
p130,2,5,program the strategy theme,program,strategy theme,0,low,0,1,0
p130,3,6,open the program specification,open,specification,0,low,0,1,0
p130,4,7,decide the program objectives,decide,objectives,0,low,0,1,0
p130,5,8,complete the program specification,complete,specification,0,low,0,1,0
p130,9,12,prepare the customer communication material,prepare,material,0,low,1,1,0
p130,9,13,prepare the customer communication material,prepare,material,0,low,1,1,0
p130,10,14,design the verification,design,verification,0,low,0,1,0
p130,11,15,validate the methods,validate,methods,0,low,0,1,0
p130,12,16,plan the quality,plan,quality,0,low,0,1,0
p131,4,5,gather the customer information,gather,information,0,low,1,1,0
p131,5,6,perform the customer information inquiry,perform,inquiry,0,low,1,1,0
p131,7,9,review the requirments,review,requirments,0,low,0,1,0
p131,8,10,check the available or not services,check,services,0,low,0,1,0
p131,11,12,find the services availble,find,services,0,low,0,1,0
p131,12,13,check the amount,check,amount,0,low,0,1,0
p131,13,14,perform the pre-order validation results,perform,results,0,low,1,1,0
p131,15,16,find the available service,find,service,0,low,1,1,0
p131,16,17,reject the request,reject,request,0,low,1,1,0
p132,2,2,go to the office,go,office,0,low,0,1,0
p132,3,3,work from the home,work,,0,low,0,1,0
p132,4,5,reach the office,reach,office,0,low,0,1,0
p132,5,6,assign the required task,assign,task,0,low,0,1,0
p132,8,9,demand the lunch break,demand,lunch break,0,low,0,1,0
p132,12,13,stop the work,stop,work,0,low,0,1,0
p133,0,1,open a website,open,website,0,low,0,1,0
p133,2,4,starts the registration,start,registration,0,low,0,1,0
p133,3,5,open the registration screen,open,screen,0,low,1,1,0
p134,0,1,receive the goods,receive,goods,0,medium,1,1,0
p134,2,3,receive the goods,receive,goods,0,medium,1,1,0
p134,3,4,review the quality,review,quality,0,low,0,1,0
p134,6,6,store the goods receipt,store,receipt,0,low,1,1,0
p134,9,9,store the goods,store,goods,0,low,0,1,0
p134,12,12,create the report,create,report,0,low,0,1,0
p134,13,13,return the goods,return,goods,0,low,1,1,0
p134,15,15,prepare the replacement order,prepare,order,0,low,0,1,0
p135,2,3,check the documents,check,documents,0,low,1,1,0
p135,3,4,check the nationality,check,nationality,0,low,0,1,0
p135,10,12,check the other required conditions,check,conditions,0,low,0,1,0
p135,14,16,find the fulfilled conditions,find,conditions,0,low,0,1,0
p135,16,19,give the prename,give,prename,0,low,0,1,0
p135,17,20,check the prename,check,prename,0,low,0,1,0
p135,19,21,clarify the name,clarify,name,0,low,0,1,0
p135,20,22,give the married name,give,name,0,low,0,1,0
p135,21,24,create the certification,create,certification,0,low,0,1,0
p136,0,1,check a data,check,data,0,low,0,1,0
p136,7,10,accept baby,accept,baby,0,low,1,1,0
p136,12,15,accept baby,accept,baby,0,low,1,1,0
p136,13,16,check the parents nationality,check,nationality,0,low,0,1,0
p136,17,20,conduct the trial,conduct,trial,0,low,0,1,0
p136,20,23,find russian,find,russian,0,low,0,1,0
p136,23,28,create the birth certificate,create,certificate,0,low,1,1,0
p136,28,34,get the citizenship stamp,get,stamp,0,low,0,1,0
p137,1,2,check the documents,check,documents,0,low,1,1,0
p137,3,4,review the parents citizenship,review,citizenship,0,low,0,1,0
p137,5,5,find the atleast,find,atleast,0,low,0,1,0
p137,7,8,find citizen,find,citizen,0,low,0,1,0
p137,12,13,find the child born in the wedlock,find,child,0,low,0,1,0
p137,13,14,consult the father,consult,father,0,low,0,1,0
p137,14,15,give the father surname,give,surname,0,low,0,1,0
p137,15,16,decide on the first name,decide,name,0,low,1,1,0
p137,16,17,find the child not born in the wedlock,find,child,0,low,0,1,0
p137,17,18,consult the mother,consult,mother,0,low,0,1,0
p137,21,22,decide on the surname,decide,surname,0,low,0,1,0
p137,23,25,give first name,give,name,0,low,0,1,0
p137,24,26,decide on the first name,decide,name,0,low,1,1,0
p137,26,29,process the birth certificate,process,certificate,0,low,0,1,0
p137,27,30,deliver the birth certificate,deliver,certificate,0,low,0,1,0
p138,1,2,check the identity,check,identity,0,low,1,1,0
p138,8,8,refuse the continution,refuse,continution,0,low,1,1,0
p138,10,10,fill in birth registration form,fill,form,0,low,0,1,0
p138,11,11,check the gba data,check,data,0,low,1,1,0
p138,12,12,create the birth certificate,create,certificate,0,low,1,1,0
p138,13,13,sign the birth certificate,sign,certificate,0,low,0,1,0
p138,14,14,return the documents,return,documents,0,low,1,1,0
p138,17,16,check the validity,check,validity,0,low,1,1,0
p138,19,18,finalize the registration,finalize,registration,0,low,0,1,0
p138,20,19,determine the next action,determine,action,0,low,1,1,0
p139,6,7,collect the documents,collect,documents,0,low,0,1,0
p139,8,9,check the gba,check,gba,0,low,1,1,0
p139,10,10,determine the next action,determine,action,0,low,1,1,0
p139,11,11,search the gba data,search,data,0,low,1,1,0
p139,12,13,fill in the birth certificate,fill,certificate,0,low,0,1,0
p139,13,14,create the birth certificate,create,certificate,0,low,1,1,0
p139,14,15,check the certificate,check,certificate,0,low,1,1,0
p139,15,16,return the documents,return,documents,0,low,1,1,0
p139,16,17,determine the gba municiplility,determine,municiplility,0,low,0,1,0
p139,18,19,check the validity,check,validity,0,low,1,1,0
p139,19,20,correct the errors,correct,errors,0,low,0,1,0
p139,21,22,finalize the message exchange,finalize,exchange,0,low,0,1,0
p14,0,1,announce the issues,announce,issues,0,low,0,1,0
p14,7,5,check the calender,check,calender,0,low,0,1,0
p14,11,8,evaluate the discussion process,evaluate,process,0,low,0,1,0
p140,1,2,check the identity,check,identity,0,low,1,1,0
p140,4,4,check the gba data,check,data,0,low,1,1,0
p140,6,6,determine the next action,determine,action,0,low,1,1,0
p140,7,7,search the gba data,search,data,0,low,1,1,0
p140,8,9,determine the desendent,determine,desendent,0,low,0,1,0
p140,10,11,sign the certificate,sign,certificate,0,low,1,1,0
p140,11,12,return the documents,return,documents,0,low,1,1,0
p140,12,13,determine the gba municipility,determine,municipility,0,low,0,1,0
p140,16,17,check the accuracy,check,accuracy,0,low,0,1,0
p140,17,18,finalize the message,finalize,message,0,low,0,1,0
p141,1,2,check the term,check,term,0,low,0,1,0
p141,6,6,refuse the continution,refuse,continution,0,low,1,1,0
p141,8,9,run through the data,run,data,0,low,0,1,0
p141,9,10,check the gba,check,gba,0,low,1,1,0
p141,10,11,investigate the gba data,investigate,data,0,low,0,1,0
p141,16,17,determine the child nationality,determine,nationality,0,low,0,1,0
p141,18,19,create the birth certificate,create,certificate,0,low,1,1,0
p141,19,20,sign the certificate,sign,certificate,0,low,1,1,0
p141,20,21,finalize the certificate,finalize,certificate,0,low,0,1,0
p142,0,1,complete an application,complete,application,0,low,1,1,0
p142,2,2,fill out the application form,fill,form,0,low,1,1,0
p142,3,3,add the certificate,add,certificate,0,medium,1,1,0
p142,4,4,create the letter,create,letter,0,low,1,1,0
p142,4,5,add the letter,add,letter,0,low,0,1,0
p142,5,7,provide the additional information,provide,information,0,low,0,1,0
p142,8,9,add the recomendations,add,recomendations,0,low,0,1,0
p142,11,13,check the application,check,application,0,medium,1,1,0
p142,12,14,conduct the check application,conduct,application,0,low,0,1,0
p142,14,16,conduct the review application,conduct,application,0,low,0,1,0
p142,20,22,find the time,find,time,0,low,0,1,0
p142,22,24,check the application,check,application,0,medium,1,1,0
p142,24,25,find the equivalent bachelor,find,bachelor,0,low,1,1,0
p142,25,26,accept the application,accept,application,0,low,1,1,0
p142,28,29,find the equivalent bachelor,find,bachelor,0,low,1,1,0
p143,3,4,fill in printed form,fill,form,0,low,1,1,0
p143,4,6,examine board,examine,board,0,low,1,1,0
p143,6,8,fill in printed form,fill,form,0,low,1,1,0
p143,8,13,check the application,check,application,0,medium,1,1,0
p143,11,17,reject the application,reject,application,0,low,0,1,0
p143,16,22,check the continual match,check,match,0,low,0,1,0
p143,17,23,check the entrance qualification,check,qualification,0,low,0,1,0
p143,18,25,evaluate the requirements,evaluate,requirements,0,low,0,1,0
p143,20,26,reject the match,reject,match,0,low,0,1,0
p143,20,27,reject qualifications,reject,qualifications,0,low,0,1,0
p143,24,32,accept qualifications,accept,qualifications,0,low,0,1,0
p144,3,4,check the documents,check,documents,0,low,1,1,0
p144,6,7,evaluate the criteria,evaluate,criteria,0,low,0,1,0
p144,8,8,reject the applicant,reject,applicant,0,low,1,1,0
p144,9,9,send the rejection letter,send,letter,0,low,1,1,0
p144,10,10,receive the rejection letter,receive,letter,0,low,1,1,0
p144,12,12,go to the interview,go,interview,0,low,0,1,0
p144,13,13,conduct the interview,conduct,interview,0,low,1,1,0
p144,15,15,send the acceptance letter,send,letter,0,low,1,1,0
p144,16,16,receive the acceptance letter,receive,letter,0,low,1,1,0
p145,6,3,add the certificate,add,certificate,0,medium,1,1,0
p145,9,7,add the certificate,add,certificate,0,medium,1,1,0
p145,10,8,fill out the application form,fill,form,0,low,1,1,0
p145,14,13,check the application,check,application,0,medium,1,1,0
p145,16,16,evaluate the time,evaluate,time,0,low,0,1,0
p145,19,17,find one thing missing,find,thing,0,low,0,1,0
p146,4,8,check the citizenship,check,citizenship,0,low,0,1,0
p146,6,9,find the international applicant,find,applicant,0,low,0,1,0
p146,8,11,find the german applicant,find,applicant,0,low,0,1,0
p146,12,16,check the completeness,check,completeness,0,low,1,1,0
p146,14,17,mark complete,mark,,0,low,1,1,0
p146,16,19,complete the application,complete,application,0,low,1,1,0
p146,18,21,mark complete,mark,,0,low,1,1,0
p146,22,24,assess the application,assess,application,0,low,0,1,0
p146,23,25,mark the application,mark,application,0,low,0,1,0
p146,31,35,conduct the final confirmation,conduct,confirmation,0,low,0,1,0
p146,33,36,publish the letter,publish,letter,0,low,0,1,0
p146,35,38,receive the acceptance letter,receive,letter,0,low,1,1,0
p147,0,1,complete an application,complete,application,0,low,1,1,0
p147,2,2,create a letter,create,letter,0,low,0,1,0
p147,6,6,add the certificate,add,certificate,0,medium,1,1,0
p147,8,10,create the cv,create,cv,0,low,0,1,0
p147,8,11,add the cv,add,cv,0,low,0,1,0
p147,9,12,fill out the application form,fill,form,0,low,1,1,0
p147,10,13,add the certificate,add,certificate,0,medium,1,1,0
p147,12,15,add the certificate,add,certificate,0,medium,1,1,0
p147,13,16,add the certificate,add,certificate,0,medium,1,1,0
p147,17,20,check the application,check,application,0,medium,1,1,0
p147,19,23,evaluate the application,evaluate,application,0,low,1,1,0
p147,21,25,find the requirements to miss ,find,requirements,0,low,0,1,0
p147,23,27,hand over the application to the examining board,hand,application,0,low,0,1,0
p147,29,31,sum the score,sum,score,0,low,0,1,0
p147,32,33,send the rejection letter,send,letter,0,low,1,1,0
p147,34,35,invite the applicants,invite,applicants,0,low,0,1,0
p147,35,36,appoint the applicant,appoint,applicant,0,low,0,1,0
p147,36,37,take the interviews,take,interviews,0,low,0,1,0
p147,37,38,make the decision,make,decision,0,low,0,1,0
p147,39,39,reject the applicant,reject,applicant,0,low,1,1,0
p147,45,46,send the acceptance letter,send,letter,0,low,1,1,0
p148,3,4,check the documents,check,documents,0,low,1,1,0
p148,5,5,conduct the required marks,conduct,marks,0,low,0,1,0
p148,6,6,take the oral exam,take,exam,0,low,1,1,0
p148,7,7,conduct the sufficient marks,conduct,marks,0,low,0,1,0
p148,9,9,evaluate the documents,evaluate,documents,0,low,0,1,0
p148,11,10,send the letter,send,letter,0,low,1,1,0
p148,12,11,receive the letter,receive,letter,0,low,1,1,0
p148,13,12,send the letter,send,letter,0,low,1,1,0
p148,15,14,receive the rejection letter,receive,letter,0,low,1,1,0
p148,16,15,receive the certificate,receive,certificate,0,low,0,1,0
p148,17,16,check the certificate,check,certificate,0,low,1,1,0
p148,20,18,take the oral exam,take,exam,0,low,1,1,0
p148,21,19,find the good average grade,find,grade,0,low,0,1,0
p148,23,22,send the acceptance letter,send,letter,0,low,1,1,0
p149,5,6,check the documents,check,documents,0,low,1,1,0
p149,6,7,evaluate the applicant eligibility,evaluate,eligibility,0,low,0,1,0
p149,9,9,invite to the aptitude test,invite,test,0,low,0,1,0
p149,12,11,send the letter,send,letter,0,low,1,1,0
p149,13,12,send the letter,send,letter,0,low,1,1,0
p15,1,2,prepare the material,prepare,material,0,low,1,1,0
p15,2,3,produce the goods,produce,goods,0,low,0,1,0
p15,5,6,check the quality,check,quality,0,low,1,1,0
p15,7,8,conduct the quality report received,conduct,report,0,low,0,1,0
p15,8,9,check the quality report,check,report,0,low,0,1,0
p150,1,2,complete the online interview,complete,interview,0,low,0,1,0
p150,13,15,print signs,print,signs,0,low,0,1,0
p150,14,16,correct the additional required documents,correct,documents,0,low,0,1,0
p150,20,26,get the required certificates,get,certificates,0,low,0,1,0
p150,24,31,check the application,check,application,0,medium,1,1,0
p150,24,32,evaluate the application,evaluate,application,0,low,1,1,0
p150,25,33,create the transcript,create,transcript,0,low,0,1,0
p150,26,35,create the ranking,create,ranking,0,low,0,1,0
p150,28,36,mark the suitable applicant,mark,applicant,0,low,1,1,0
p150,29,37,invite the applicant,invite,applicant,0,low,0,1,0
p150,31,39,accept the applicant,accept,applicant,0,low,0,1,0
p150,32,40,mark the suitable applicant,mark,applicant,0,low,1,1,0
p150,33,41,reject the applicant,reject,applicant,0,low,1,1,0
