,textid,sentenceID,activityID,activity,verb,object,IT system,process volume,repetitive,human intervention,GS
76,model2-1,3,5,determine the necessary counter measures to include respective priorities,determine,meansures,0.0,low,0,1,0
77,model6-3,0,1,determine the necessary parts well,determine,part,0.0,low,0,1,0
78,model2-1,18,35,determine what counter measures should be taken depending on the information in the final status report,determine,what,0.0,low,0,1,0
79,model3-5,2,2,distribute mail,distribute,mail,0.0,low,0,1,0
80,model3-2,2,5,distribute the judges lawlist to the relevant people,distribute,lawlist,0.0,low,0,1,0
81,model9-3,0,0,draft a schedule in november,draft,schedule,0.0,low,0,1,0
82,model1-4,10,19,enter into a firm commitment to buy,enter,commitment,0.0,low,0,1,0
83,model3-6,2,3,evaluate the severity,evaluate,severity,0.0,low,0,1,0
84,model3-3,0,1,examine a claim,examine,claim,0.0,low,0,1,0
85,model4-1,29,45,examine the patient to use a standard checklist,examine,patient,0.0,low,0,1,0
86,model1-2,5,8,execute arbitrary repair activity,execute,activity,0.0,low,0,1,0
87,model3-5,5,7,explain the reason,explain,reason,0.0,low,0,1,0
88,model9-4,0,0,finalize the dates,finalize,dates,0.0,low,0,1,0
89,model1-2,5,9,finish the repair,finish,repair,0.0,low,0,1,0
90,repairexample,10,15,finish to work on a phone,finish,,0.0,low,0,1,0
91,repairexample,1,1,fix different 3 types,fix,types,0.0,low,0,1,0
92,repairexample,8,12,fix simple defects,fix,defects,0.0,low,0,1,0
93,model1-4,9,18,fix the issue price,fix,price,0.0,low,0,1,0
94,model4-1,38,57,formulate a treatment plan together with the team-leader,formulate,plan,0.0,low,0,1,0
95,model3-1,2,4,forward the sct warrant possession to queensland police,forward,possession,0.0,low,0,1,0
96,hotelservice,3,4,give an order to fetch wine to the sommelier,give,order,0.0,low,0,1,0
97,hotelservice,3,5,give an order to prepare other alcoholic beverages to the sommelier,give,order,0.0,low,0,1,0
98,model6-1,17,36,give payment instructions,give,instructions,0.0,low,0,1,0
99,model1-4,4,11,give seal,give,seal,0.0,low,0,1,0
100,model4-1,6,6,hand in form,hand in,form,0.0,low,0,1,0
101,model3-2,2,4,hand the files to the associate,hand,files,0.0,low,0,1,0
102,model9-4,2,5,hold meeting,hold,meeting,0.0,low,0,1,0
103,repairexample,6,8,identify the problem,identify,problem,0.0,low,0,1,0
104,model2-1,16,31,include the normal execution notification in a status report,include,notification,0.0,low,0,1,0
105,model2-1,16,30,include trouble report in a status report,include,report,0.0,low,0,1,0
106,model3-2,1,1,initiate a search,initiate,search,0.0,low,0,1,0
107,model4-1,2,2,inquire after the name,inquire,name,0.0,low,0,1,0
108,model9-6,3,5,interrupt development,interrupt,development,0.0,low,0,1,0
109,model2-1,10,16,investigate ,investigate,,0.0,low,0,1,0
110,model4-1,25,37,keep registration,keep,registration,0.0,low,0,1,0
111,model6-4,7,11,leave the customer alone,leave,customer,0.0,low,0,1,0
112,model4-1,4,4,make a full inquiry,make,inquiry,0.0,low,0,1,0
113,model1-4,0,0,make the decision to go,make,decision,0.0,low,0,1,0
114,model6-1,13,30,make to approval for payment,make,,0.0,low,0,1,0
115,model6-1,8,18,mark positions,mark,positions,0.0,low,0,1,0
116,model3-2,0,0,need to be check to make sure they are in order for the court hearing,need,,0.0,low,0,1,0
117,model3-5,3,4,open the mail,open,mail,0.0,low,0,1,0
118,bicyclemanufacturing,7,11,part is back-ordered,,part,0.0,low,0,1,0
119,model6-4,2,2,participate in exhibitions,participate in,exhibitions,0.0,low,0,1,0
120,model4-1,24,36,pass the produced registration cards to the first and second intaker,pass,cards,0.0,low,0,1,0
121,model3-5,4,6,perform a quality check,perform,check,0.0,low,0,1,0
122,model9-6,0,1,perform a task to distribute relevant existing designs,perform,task,0.0,low,0,1,0
123,model9-6,0,0,perform a task to locate ,perform,task,0.0,low,0,1,0
124,model2-1,12,19,perform the analysis,perform,analysis,0.0,low,0,1,0
125,model4-1,28,44,plan a meeting soon,plan,meeting,0.0,low,0,1,0
126,model4-1,33,50,plan the first meeting has been receive ,plan,meeting,0.0,low,0,1,0
127,model3-5,7,12,post an envelope to the party,post,envelop,0.0,low,0,1,0
128,model4-1,26,39,prepare a letter requesting for a copy of the medical file,prepare,letter,0.0,low,0,1,0
129,model1-4,5,12,prepare a registration statement,prepare,statement,0.0,low,0,1,0
130,model2-1,17,34,prepare the final status report based on the received information,prepare,report,0.0,low,0,1,0
131,model1-4,3,10,present the facts fairly,present,facts,0.0,low,0,1,0
132,model6-1,10,24,proceed with the clarification,proceed,clarification,0.0,low,0,1,0
133,model5-3,0,0,process an office supply request,process,request,0.0,low,0,1,0
134,model7-1,5,5,process the lead,process,lead,0.0,low,0,1,0
135,model5-2,0,0,process vacations request,process,request,0.0,low,0,1,0
136,model9-4,2,6,produce minutes including any action points for each committee member,produce,minutes,0.0,low,0,1,0
137,model4-1,11,12,produce two registration cards,produce,cards,0.0,low,0,1,0
138,model3-5,6,9,provide the matter details to the cashier,provide,details,0.0,low,0,1,0
139,model4-1,37,56,provide the team-leader,provide,team-leader,0.0,low,0,1,0
140,model4-1,31,48,put a copy in the file,put,copy,0.0,low,0,1,0
141,model3-5,7,11,put copied documents into an envelope,put,documents,0.0,low,0,1,0
142,claimscreation,0,1,put police report related to the car accident in a file together with the claim documentation,put,report,0.0,low,0,1,0
143,model3-5,7,10,put the receipt into an envelope,put,receipt,0.0,low,0,1,0
144,model4-1,3,3,put through the doctor to the responsible nursing officer,put through,doctor,0.0,low,0,1,0
145,hotelservice,6,11,ready a cart,ready,cart,0.0,low,0,1,0
146,model1-4,9,17,receive clearance,receive,clearance,0.0,low,0,1,0
147,model3-5,3,3,receive the mail,receive,mail,0.0,low,0,1,0
148,model3-1,6,11,receive the physical sct file,receive,file,0.0,low,0,1,0
149,model4-1,30,47,register additional observations in a personal notebook,register,observations,0.0,low,0,1,0
150,model6-1,9,21,reject the ap,reject,ap,0.0,low,0,1,0
151,repairexample,8,13,repair complex defects,repair,defects,0.0,low,0,1,0
152,repairexample,9,14,repair some,repair,some,0.0,low,0,1,0
153,model1-2,3,6,repair the hardware whereas the second activity checks,repair,hardware,0.0,low,0,1,0
154,model3-3,3,6,repeat the recommendation,repeat,recommendation,0.0,low,0,1,0
155,model1-4,2,7,resell procedural and financial advice to the public,resell,advice,0.0,low,0,1,0
156,bicyclemanufacturing,6,10,reserve part,reserve,part,0.0,low,0,1,0
157,runningexample,6,9,reserve the part list,reserve,list,0.0,low,0,1,0
158,model6-1,16,34,resolve copy,resolve,copy,0.0,low,0,1,0
159,model6-1,11,26,resolve inconsistencies,resolve,inconsistencies,0.0,low,0,1,0
160,model2-2,11,18,resolve the causing issues,resolve,issues,0.0,low,0,1,0
161,model3-1,4,8,retrieve the respective sct file,retrieve,file,0.0,low,0,1,0
162,model3-1,1,3,retrieve the sctt file,retrieve,file,0.0,low,0,1,0
163,hotelservice,9,18,return ,return,,0.0,low,0,1,0
164,model6-1,6,15,return the copy to the internal mail,return,copy,0.0,low,0,1,0
165,model3-6,4,6,return the forms,return,forms,0.0,low,0,1,0
166,model5-3,4,6,return the request to the petitioner\/employee,return,request,0.0,low,0,1,0
167,model9-6,5,7,review existing designs in department,review,designs,0.0,low,0,1,0
168,model9-5,1,2,review report,review,report,0.0,low,0,1,0
169,model6-1,5,11,review the content,review,content,0.0,low,0,1,0
170,model9-6,10,16,revise both,revise,both,0.0,low,0,1,0
171,claimscreation,0,0,search police report related to the car accident,search,report,0.0,low,0,1,0
172,model7-1,1,1,select the top five ones,select,ones,0.0,low,0,1,0
173,model1-4,0,2,select the underwriters,select,underwriters,0.0,low,0,1,0
174,model4-1,26,40,send a letter requesting for a copy of the medical file,send,letter,0.0,low,0,1,0
175,repairexample,6,10,send a letter to inform him\/her about the problem to the customer,send,letter,0.0,low,0,1,0
176,repairexample,15,25,send a new brand device to the customer,send,device,0.0,low,0,1,0
177,model6-1,9,22,send back the copy directly to accounting,send,copy,0.0,low,0,1,0
178,repairexample,10,16,send device to the quality assurance department,send,device,0.0,low,0,1,0
179,model9-6,11,19,send the combined design back to initiate design cycle to the beginning,send,design,0.0,low,0,1,0
180,model9-6,8,14,send the design back to create a new update plan,send,design,0.0,low,0,1,0
181,model9-6,8,13,send the design back to review ,send,design,0.0,low,0,1,0
182,model9-6,12,21,send the designs to the manufacturing process,send,designs,0.0,low,0,1,0
183,repairexample,13,21,send the telephone to the customer,send,telephone,0.0,low,0,1,0
184,model3-5,3,5,sort the mail into groups,sort,mail,0.0,low,0,1,0
185,model4-1,9,10,store registration form in the patient file,store,form,0.0,low,0,1,0
186,model3-1,3,5,store sctt physical file to await a report to sent,store,file,0.0,low,0,1,0
187,hotelservice,2,3,submit an order ticket to begin to prepare to the kitchen,submit,order,0.0,low,0,1,0
188,model9-3,1,3,suggest modifications,suggest,modifications,0.0,low,0,1,0
189,model6-3,7,17,take care,take care,,0.0,low,0,1,0
190,model4-1,19,23,take case load in assigning intakers into account,take,load,0.0,low,0,1,0
191,model1-2,1,3,take computer home unrepaired,take,computer,0.0,low,0,1,0
192,hotelservice,1,2,take down the order,take,order,0.0,low,0,1,0
193,model4-1,19,22,take earlier contacts in assigning intakers into account,take,contacts,0.0,low,0,1,0
194,model4-1,19,20,take expertise in assigning intakers into account,take,expertise,0.0,low,0,1,0
195,model4-1,19,21,take the region in assigning intakers into account,take,region,0.0,low,0,1,0
196,model2-1,7,11,take together the information,take,information,0.0,low,0,1,0
197,model7-1,2,2,tell sales to call the contact person,tell,sales,0.0,low,0,1,0
198,model9-6,9,15,tell the other department,tell,department,0.0,low,0,1,0
199,model9-6,10,18,test both,test,both,0.0,low,0,1,0
200,model1-2,4,7,test the proper system functionality,test,functionality,0.0,low,0,1,0
201,model9-6,7,12,test the revised design,test,design,0.0,low,0,1,0
202,model4-1,1,1,the family doctor does notice,notice,,0.0,low,0,1,0
203,hotelservice,6,9,the kitchen are doing tasks,doing,tasks,0.0,low,0,1,0
204,runningexample,7,10,the part list is back-ordered,,list,0.0,low,0,1,0
205,hotelservice,6,10,the sommelier are doing tasks,doing,tasks,0.0,low,0,1,0
206,model2-1,27,51,track possible errors,track,errors,0.0,low,0,1,0
207,model3-2,1,2,track the files to the intended location,track,files,0.0,low,0,1,0
208,model6-4,8,12,try to acquire the customer,acquire,customer,0.0,low,0,1,0
209,claimscreation,3,5,try to negotiate a settlement,negotiate,settlement,0.0,low,0,1,0
210,model2-1,21,40,undertake corrective actions,undertake,actions,0.0,low,0,1,0
211,model2-1,28,53,undertake necessary corrective actions,undertake,actions,0.0,low,0,1,0
212,model4-1,34,51,use dictaphones to record observations made during meetings with patients,use,dictaphones,0.0,low,0,1,0
213,model9-6,6,9,use the existing draft,use,draft,0.0,low,0,1,0
214,model9-6,6,8,use the update plan,use,plan,0.0,low,0,1,0
215,model6-4,11,15,wait for the customer to come back to the customer,wait,customer,0.0,low,0,1,0
216,hotelservice,10,20,wait to does the billing,wait,,0.0,low,0,1,0
217,model3-3,1,2,write a settlement recommendation,write,recommendation,0.0,low,0,1,0
218,p1,2,4,discuss the problem,discuss,problem,0.0,low,0,1,0
219,p1,4,6,explain the solution,explain,solution,0.0,low,0,1,0
220,p1,5,7,conduct the problem,conduct,problem,0.0,low,0,1,0
221,p1,10,12,call the service provider,call,provider,0.0,low,0,1,0
222,p10,2,3,process the seat availabilty,process,availabilty,0.0,low,0,1,0
223,p10,6,7,check the rejection notification,check,notification,0.0,low,0,1,0
224,p100,1,2,check the goods,check,goods,0.0,low,0,1,0
225,p100,10,11,identify the issue,identify,issue,0.0,low,0,1,0
226,p100,12,13,prepare the inspection list,prepare,list,0.0,low,0,1,0
227,p101,3,3,decide the normal order,decide,order,0.0,low,0,1,0
228,p101,3,4,decide special shipment,decide,shipment,0.0,low,0,1,0
229,p101,5,5,find the special carrier,find,carrier,0.0,low,0,1,0
230,p101,7,7,prepare the paperwork,prepare,paperwork,0.0,low,0,1,0
231,p101,8,8,finalize the shipment,finalize,shipment,0.0,low,0,1,0
232,p101,9,9,find the normal post,find,post,0.0,low,0,1,0
233,p101,10,11,check extra insurrance,check,insurrance,0.0,low,0,1,0
234,p101,11,12,find the extra insurance to require ,find,insurance,0.0,low,0,1,0
235,p101,12,13,fill out form,fill,form,0.0,low,0,1,0
236,p101,14,16,add the paper work,add,paperwork,0.0,low,0,1,0
237,p102,0,1,decide a menu,decide,menu,0.0,low,0,1,0
238,p102,0,2,decide budgets,decide,budgets,0.0,low,0,1,0
239,p102,1,3,prepare the order list,prepare,list,0.0,low,0,1,0
240,p102,8,9,find the available order,find,order,0.0,low,0,1,0
241,p102,9,10,collect the items,collect,items,0.0,low,0,1,0
242,p102,18,15,starts the cooking,starts,cooking,0.0,low,0,1,0
243,p102,20,16,dispatch the order,dispatch,order,0.0,low,0,1,0
244,p103,1,2,check the status,check,status,0.0,low,0,1,0
245,p103,4,3,reserve the inventory,reserve,inventory,0.0,low,0,1,0
246,p103,5,4,find the available address,find,address,0.0,low,0,1,0
247,p103,6,5,validate the address,validate,address,0.0,low,0,1,0
248,p103,10,10,check the other requirments,check,requirments,0.0,low,0,1,0
249,p103,18,19,create the code,create,code,0.0,low,0,1,0
250,p103,19,21,plan the shipment,plan,shipment,0.0,low,0,1,0
251,p104,1,1,get the model requirments,get,requirments,0.0,low,0,1,0
252,p104,5,4,list the requirments,list,requirments,0.0,low,0,1,0
253,p104,6,5,verify the requirments,verify,requirments,0.0,low,0,1,0
254,p104,9,7,reject the requirments,reject,requirments,0.0,low,0,1,0
255,p104,13,11,accept the requirements,accept,requirements,0.0,low,0,1,0
256,p104,15,12,verify the specifications,verify,specifications,0.0,low,0,1,0
257,p104,16,13,check the design,check,design,0.0,low,0,1,0
258,p104,18,14,accept the design,accept,design,0.0,low,0,1,0
259,p104,23,19,implement the design,implement,design,0.0,low,0,1,0
260,p104,25,21,integrate the design,integrate,design,0.0,low,0,1,0
261,p104,27,23,finalize the integration,finalize,integration,0.0,low,0,1,0
262,p104,29,25,launch the model,launch,model,0.0,low,0,1,0
263,p105,7,8,check the credit card,check,credit card,0.0,low,0,1,0
264,p105,8,9,validate the credit card,validate,credit card,0.0,low,0,1,0
265,p105,9,10,verify the email address,verify,address,0.0,low,0,1,0
266,p105,10,11,validate the email address,validate,address,0.0,low,0,1,0
267,p106,1,2,verify the credit card system,verify,system,0.0,low,0,1,0
268,p106,2,3,check the default payment,check,payment,0.0,low,0,1,0
269,p106,10,12,send the book,send,book,0.0,low,0,1,0
270,p106,11,14,conduct the complete order,conduct,order,0.0,low,0,1,0
271,p107,0,1,decides to buy a book,decides,book,0.0,low,0,1,0
272,p107,1,2,open the online website,open,website,0.0,low,0,1,0
273,p107,2,3,find the book title,find,book title,0.0,low,0,1,0
274,p107,8,9,process the request,process,request,0.0,low,0,1,0
275,p107,11,12,add the book to the shopping cart,add,book,0.0,low,0,1,0
276,p107,17,17,find the available amount,find,amount,0.0,low,0,1,0
277,p107,18,18,reject the shipment,reject,shipment,0.0,low,0,1,0
278,p108,0,1,prepare a requisition,prepare,requisition,0.0,low,0,1,0
279,p108,1,2,prepare the request,prepare,request,0.0,low,0,1,0
280,p108,2,3,check the request,check,request,0.0,low,0,1,0
281,p108,4,5,evaluate the rfq,evaluate,rfq,0.0,low,0,1,0
282,p108,9,9,review the rfq,review,rfq,0.0,low,0,1,0
283,p108,10,10,prepare the quote,prepare,quote,0.0,low,0,1,0
284,p108,15,14,prepare the quote response,prepare,response,0.0,low,0,1,0
285,p108,18,17,review the quote response,review,response,0.0,low,0,1,0
286,p108,27,25,receive the ordered items,receive,items,0.0,low,0,1,0
287,p108,32,30,conduct the resend order,conduct,order,0.0,low,0,1,0
288,p109,0,1,prepare a new request,prepare,request,0.0,low,0,1,0
289,p109,3,4,check the info,check,info,0.0,low,0,1,0
290,p109,9,9,check the emergency,check,emergency,0.0,low,0,1,0
291,p109,11,11,check the stl housing concern,check,concern,0.0,low,0,1,0
292,p109,20,19,correct the problem,correct,problem,0.0,low,0,1,0
293,p109,22,22,assign the routine or priority order,assign,order,0.0,low,0,1,0
294,p109,23,23,check the assigned order,check,order,0.0,low,0,1,0
295,p109,26,26,advise the options,advise,options,0.0,low,0,1,0
296,p109,32,31,inspect the work,inspect,work,0.0,low,0,1,0
297,p109,34,32,check the cleared escort,check,escort,0.0,low,0,1,0
298,p109,38,36,arrange the clear escort,arrange,escort,0.0,low,0,1,0
299,p109,39,38,assign the work to work order clerk,assign,work,0.0,low,0,1,0
300,p109,40,39,perform the work,perform,work,0.0,low,0,1,0
301,p109,41,41,complete the work order,complete,order,0.0,low,0,1,0
302,p109,44,44,close the work order,close,order,0.0,low,0,1,0
303,p109,45,45,complete the satisfaction survey,complete,survey,0.0,low,0,1,0
304,p11,0,1,identify a payment method,identify,method,0.0,low,0,1,0
305,p11,3,3,accept the cash,accept,cash,0.0,low,0,1,0
306,p11,4,4,prepare the package,prepare,package,0.0,low,0,1,0
307,p11,6,7,accept credit card,accept,card,0.0,low,0,1,0
308,p110,0,1,buy a product,buy,product,0.0,low,0,1,0
309,p110,1,2,fill the credit form,fill,form,0.0,low,0,1,0
310,p110,5,6,get the credit criteria,get,criteria,0.0,low,0,1,0
311,p110,6,7,review the receivable accounts,review,accounts,0.0,low,0,1,0
312,p110,7,8,calculate the credit terms,calculate,terms,0.0,low,0,1,0
313,p111,4,5,conduct the risk assessment,conduct,assessment,0.0,low,0,1,0
314,p111,6,8,analyze the requirements,analyze,requirements,0.0,low,0,1,0
315,p111,8,9,conduct the positive risk assessment,conduct,assessment,0.0,low,0,1,0
316,p111,9,10,setups the loan contract,setups,contract,0.0,low,0,1,0
317,p111,11,11,fulfill the loan request,fulfill,request,0.0,low,0,1,0
318,p112,3,2,give the department feed back,give,feedback,0.0,low,0,1,0
319,p112,5,3,give the client feedback,give,feedback,0.0,low,0,1,0
320,p112,6,5,collect the feedback,collect,feedback,0.0,low,0,1,0
321,p112,7,6,assess the feedback,assess,feedback,0.0,low,0,1,0
322,p113,4,4,investigate the demographics,investigate,demographics,0.0,low,0,1,0
323,p114,1,2,describe the illness,describe,illness,0.0,low,0,1,0
324,p114,2,3,receive the symptoms,receive,symptoms,0.0,low,0,1,0
325,p114,3,4,examine the symptoms,examine,symptoms,0.0,low,0,1,0
326,p114,4,5,consider the suitable drugs,consider,drugs,0.0,low,0,1,0
327,p114,5,6,ask for cost,ask,cost,0.0,low,0,1,0
328,p114,9,10,check the specification,check,specification,0.0,low,0,1,0
329,p114,9,11,check requirmentses,check,requirments,0.0,low,0,1,0
330,p115,3,3,check the booking request details,check,details,0.0,low,0,1,0
331,p115,4,4,check the flights details,check,flights,0.0,low,0,1,0
332,p115,5,5,check the availablity,check,availablity,0.0,low,0,1,0
333,p115,11,11,find the available flight,find,flight,0.0,low,0,1,0
334,p115,12,12,conduct the alternative flight offered,conduct,flight,0.0,low,0,1,0
335,p116,2,4,review the ticket,review,ticket,0.0,low,0,1,0
336,p116,13,15,review the issue,review,issue,0.0,low,0,1,0
337,p117,3,4,verify the request,verify,request,0.0,low,0,1,0
338,p117,4,5,reserve the fuel type,reserve,fuel type,0.0,low,0,1,0
339,p117,7,8,provide the info,provide,info,0.0,low,0,1,0
340,p117,10,11,look up at the subscription,look,subscription,,low,0,1,0
341,p117,11,12,deliver the fuel,deliver,fuel,0.0,low,0,1,0
342,p117,12,13,conduct the complete fuel process,conduct,process,0.0,low,0,1,0
343,p117,13,14,search the customer data,search,data,0.0,low,0,1,0
344,p118,1,2,verify the creditcard,verify,creditcard,0.0,low,0,1,0
345,p118,4,5,find the insufficient balance,find,balance,0.0,low,0,1,0
346,p118,9,10,process the logging,process,logging,0.0,low,0,1,0
347,p118,12,13,process the activity order,process,order,0.0,low,0,1,0
348,p118,15,16,process the airline order,process,order,0.0,low,0,1,0
349,p119,1,2,check the claim details,check,details,0.0,low,0,1,0
350,p119,2,3,express claim,express,claim,0.0,low,0,1,0
351,p119,8,9,conduct the high touch claim,conduct,claim,0.0,low,0,1,0
352,p119,10,12,conduct the handled claim,conduct,claim,0.0,low,0,1,0
353,p12,1,2,check the vacation rights,check,rights,0.0,low,0,1,0
354,p12,3,3,reject the vacations,reject,vacations,0.0,low,0,1,0
355,p12,5,5,accept the vacations,accept,vacations,0.0,low,0,1,0
356,p12,7,7,calculate the documentation,calculate,documentation,0.0,low,0,1,0
357,p12,7,8,provide the documentation,provide,documentation,0.0,low,0,1,0
358,p12,9,10,deliver the vacations doumentation,deliver,doumentation,0.0,low,0,1,0
359,p120,2,4,access the documents,access,documents,0.0,low,0,1,0
360,p120,3,5,investigate the claim,investigate,claim,0.0,low,0,1,0
361,p120,4,6,review to complete ,review,complete,0.0,low,0,1,0
362,p120,11,13,fulfill the requirements,fulfill,requirements,0.0,low,0,1,0
363,p122,6,6,conduct the complaint created,conduct,complaint,0.0,low,0,1,0
364,p122,9,10,assign the incoming email,assign,email,0.0,low,0,1,0
365,p122,10,11,read the email,read,email,0.0,low,0,1,0
366,p122,12,14,assign the category mannually,assign,category,0.0,low,0,1,0
367,p122,13,15,conduct the customer claim,conduct,claim,0.0,low,0,1,0
368,p123,10,9,create the inspection report,create,report,0.0,low,0,1,0
369,p125,2,3,prepare the goods acquisition,prepare,acquisition,0.0,low,0,1,0
370,p125,13,13,get the goods to deliver ,get,goods,0.0,low,0,1,0
371,p125,15,15,get the ordered goods,get,goods,0.0,low,0,1,0
372,p126,1,2,develop the project budget,develop,budget,0.0,low,0,1,0
373,p126,4,5,build up the project bid,build up,bid,0.0,low,0,1,0
374,p126,5,6,review the list,review,list,0.0,low,0,1,0
375,p126,10,10,monitor the project,monitor,project,0.0,low,0,1,0
376,p127,0,1,review the short listed candidates,review,candidates,0.0,low,0,1,0
377,p127,2,3,offer package,offer,package,0.0,low,0,1,0
378,p127,3,4,receive the offer package,receive,package,0.0,low,0,1,0
379,p127,4,5,review the package,review,package,0.0,low,0,1,0
380,p127,6,6,reject the package,reject,package,0.0,low,0,1,0
381,p127,10,10,accept the package,accept,package,0.0,low,0,1,0
382,p127,11,12,manager forwards the package,manager,package,0.0,low,0,1,0
383,p127,16,17,review the non acceptance,review,acceptance,0.0,low,0,1,0
384,p128,2,3,check the request completion,check,completion,0.0,low,0,1,0
385,p128,3,4,determine the customer status,determine,status,0.0,low,0,1,0
