textid,sentenceID,activityID,Activity,resource,object,gsClass
p5,5,7,check the availability,manufacturer,Resource - [the] availability,0
p5,9,10,collect the parts,manufacturer,Resource - [the] parts,0
p5,10,12,fulfil the order,manufacturer,Meta-Actor - [the] order,0
p5,11,13,dispatch the product,manufacturer,Resource - [the] product,0
p50,2,3,allocate the initial priority,,Resource - [the] [initial] priority,0
p50,9,10,determine the scope,,Resource - [the] scope,0
p52,2,2,package the goods,logistic manager,Resource - [the] goods,0
p52,3,3,evaluate the normal order,logistic manager,Meta-Actor - [the] [normal] order,0
p52,3,4,evaluate special shipment,logistic manager,Resource - [special] shipment,0
p52,5,5,find the normal order,logistic manager,Meta-Actor - [the] [normal] order,0
p52,6,6,take the extra insurance,logistic manager,Resource - [the] [extra] insurance,0
p52,7,8,fill the order lable,logistic manager,Resource - [the] [order] lable,0
p52,8,9,find the special order,logistic manager,Meta-Actor - [the] [special] order,0
p52,10,11,assign the carrier,logistic manager,Meta-Actor - [the] carrier,0
p52,11,13,add the paperwork,logistic manager,Resource - [the] paperwork,0
p52,11,14,move the package,logistic manager,Resource - [the] package,0
p53,4,5,assign the room,information cell,Meta-Actor - [the] room,0
p53,5,6,establish the terms,information cell,Resource - [the] terms,0
p53,5,7,establish methods,information cell,Resource - methods,0
p53,6,8,issue the room key,information cell,Resource - [the] [room] key,0
p53,9,13,check the availability,information cell,Resource - [the] availability,0
p53,11,14,find the available room,information cell,Meta-Actor - [the] [available] room,0
p53,12,15,reject the guest request,information cell,Resource - [the] [guest] request,0
p53,14,17,issue the key,information cell,Resource - [the] key,0
p54,2,3,review the order,retailer,Meta-Actor - [the] order,0
p54,4,5,find the retailer,retailer,Actor - [the] retailer,0
p54,7,11,analyze the demand availability,retailer,Resource - [the] [demand] availability,0
p54,13,16,reject the order,retailer,Meta-Actor - [the] order,0
p55,0,1,identify a vacancy,business unit manager,Resource - [a] vacancy,0
p55,2,3,access the vacancy,business unit manager,Resource - [the] vacancy,0
p55,3,4,review the vacancy,business unit manager,Resource - [the] vacancy,0
p55,6,6,write the job description,business unit manager,Resource - [the] [job] description,0
p55,7,7,determine the channels,business unit manager,Resource - [the] channels,0
p55,10,9,reject the vacancy,business unit manager,Resource - [the] vacancy,0
p56,3,3,find the available product,customer,Resource - [the] [available] product,0
p56,4,4,bring the product,customer,Resource - [the] product,0
p56,8,7,package the order,customer,Meta-Actor - [the] order,0
p56,10,10,ship the order,customer,Meta-Actor - [the] order,0
p57,6,7,verify the credit,retailer,Resource - [the] credit,0
p57,8,8,find the credit sufficent,retailer,Resource - [the] [credit] sufficent,0
p57,10,10,prepare ships,retailer,Resource - ships,0
p57,14,16,close the order,retailer,Meta-Actor - [the] order,0
p58,2,3,evaluate the payment mode,buyer,Resource - [the] [payment] mode,0
p58,5,6,verify the total amount,buyer,Resource - [the] [total] amount,0
p58,8,9,verify the credit card,buyer,Resource - [the] [credit] card,0
p58,10,10,find the balance sufficent,buyer,Resource - [the] [balance] sufficent,0
p58,12,12,find the balance insufficent,buyer,Resource - [the] [balance] insufficent,0
p59,5,6,create the product specification,,Resource - [the] [product] specification,0
p59,7,8,release the product class,,Actor - [the] [product] class,0
p59,7,9,release attributeses,,Resource - attributeses,0
p6,1,2,assist the customer,storekeeper,Actor - [the] customer,0
p6,2,3,evaluate the request,storekeeper,Resource - [the] request,0
p60,1,2,determine the registration authority,business organization,Meta-Actor - [the] [registration] authority,0
p60,3,4,find the authority,business organization,Meta-Actor - [the] authority,0
p60,4,6,find the authority,business organization,Meta-Actor - [the] authority,0
p60,6,9,verify the business identity,business organization,Resource - [the] [business] identity,0
p60,9,11,send the training letter,business organization,Actor - [the] [training] letter,0
p61,3,2,process the shippping,shipping department,Resource - [the] shippping,0
p61,7,5,handle the shipping price,shipping department,Resource - [the] [shipping] price,0
p61,8,6,process the invoice,shipping department,Resource - [the] invoice,0
p62,2,3,evaluate the support request,customer,Resource - [the] [support] request,0
p62,4,5,find the information validate,customer,Resource - [the] [information] validate,0
p62,8,9,validate the support,customer,Actor - [the] support,0
p62,9,10,display the status,customer,Resource - [the] status,0
p62,10,11,find the validate information,customer,Resource - [the] [validate] information,0
p62,11,12,validate the information,customer,Resource - [the] information,0
p62,11,13,validate resubmits,customer,Resource - resubmits,0
p63,2,3,evaluate the candidate eligibility,election cell,Actor - [the] candidate,0
p63,4,5,find the eligible candidate,election cell,Actor - [the] [eligible] candidate,0
p63,6,7,find the candidate,election cell,Actor - [the] candidate,0
p63,8,9,review the candidates list,election cell,Resource - [the] [candidates] list,0
p63,9,10,conduct the announse issue,election cell,Meta-Actor - [the] [announse] issue,0
p63,10,11,prepare the result,election cell,Resource - [the] result,0
p64,1,2,review the request,originator,Resource - [the] request,0
p64,3,4,transfer the fund,originator,Actor - [the] fund,0
p64,4,5,order the product,originator,Resource - [the] product,0
p64,6,6,get the product,originator,Resource - [the] product,0
p65,0,1,offer a quote,wholesaler,Resource - [a] quote,0
p65,2,3,prepare the appointment,wholesaler,Actor - [the] appointment,0
p65,3,4,conduct the appointment,wholesaler,Actor - [the] appointment,0
p65,4,5,collect the missing info,wholesaler,Resource - [the] [missing] info,0
p65,5,6,calculate the insurance package,wholesaler,Resource - [the] [insurance] package,0
p65,8,9,reevaluate the opportunity,wholesaler,Resource - [the] opportunity,0
p66,5,6,review the request,employee,Resource - [the] request,0
p66,7,8,reject the request,employee,Resource - [the] request,0
p67,2,3,evaluate the person credit score,employee,Resource - [the] [person credit] score,0
p67,4,5,find the eligible person,employee,Actor - [the] [eligible] person,0
p67,5,6,evaluate the misc person,employee,Actor - [the] [misc] person,0
p67,8,8,find the eligible person,employee,Actor - [the] [eligible] person,0
p67,9,9,reject the loan request,employee,Resource - [the] [loan] request,0
p68,1,2,check the patient,doctor,Meta-Actor - [the] patient,0
p68,3,3,check the patient,doctor,Meta-Actor - [the] patient,0
p68,4,4,advise the medicine,doctor,Resource - [the] medicine,0
p68,5,5,get the medicine,doctor,Resource - [the] medicine,0
p68,6,6,make the referral,doctor,Meta-Actor - [the] referral,0
p68,7,7,take the patient blood sample,doctor,Resource - [the] [patient] [blood] sample,0
p68,8,8,make the further referral,doctor,Meta-Actor - [the] [further] referral,0
p68,9,9,perform the genetic testing,doctor,Resource - [the] [genetic] testing,0
p69,0,1,view a need based scholorship notification,student,Resource - [a] need,0
p69,3,4,verify the documents,student,Resource - [the] documents,0
p69,4,5,list eligible candidates,student,Actor - [eligible] candidates,0
p69,5,6,initiate the interviews,student,Resource - [the] interviews,0
p69,7,8,find the student,student,Actor - [the] student,0
p69,8,9,grant the scholorship,student,Resource - [the] scholorship,0
p69,10,11,reject the student request,student,Resource - [the] [student] request,0
p7,0,1,give an order,customer,Meta-Actor - [an] order,0
p7,2,3,check the available or not funds,customer,Resource - [the] [available or not] funds,0
p7,5,5,find the available funds,customer,Resource - [the] [available] funds,0
p7,6,6,add the funds,customer,Resource - [the] funds,0
p7,8,9,process the customer order,customer,Meta-Actor - [the] [customer] order,0
p7,9,10,check the inventory,customer,Resource - [the] inventory,0
p7,12,13,prepare the purchase requisition,customer,Resource - [the] [purchase] requisition,0
p7,13,14,purchase the order,customer,Meta-Actor - [the] order,0
p7,17,16,pack the product,customer,Resource - [the] product,0
p7,18,17,deliver the product,customer,Resource - [the] product,0
p70,2,3,process the claim,customer,Resource - [the] claim,0
p70,3,4,identify the responsibilities,customer,Resource - [the] responsibilities,0
p70,5,5,create the letter,customer,Actor - [the] letter,0
p70,7,8,change the responsibilities,customer,Resource - [the] responsibilities,0
p71,1,2,invite the candidates,company,Actor - [the] candidates,0
p71,2,3,develop the bid,company,Resource - [the] bid,0
p71,4,5,sign the contract,company,Resource - [the] contract,0
p71,6,7,review the updates,company,Resource - [the] updates,0
p72,0,1,fill a request form,employee,Meta-Actor - [a] [request] form,0
p72,2,3,evaluate form,employee,Meta-Actor - form,0
p72,4,5,reject form,employee,Meta-Actor - form,0
p72,5,6,approve form,employee,Meta-Actor - form,0
p73,2,3,prepare the food,customer,Resource - [the] food,0
p73,5,7,prepare the food,customer,Resource - [the] food,0
p73,6,8,require the ingredient,customer,Resource - [the] ingredient,0
p73,7,9,prepare the material,customer,Actor - [the] material,0
p73,8,10,prepare the food,customer,Resource - [the] food,0
p73,10,12,deliver the food,customer,Resource - [the] food,0
p74,3,4,analyze the problem,customer,Resource - [the] problem,0
p74,3,5,address the problem,customer,Resource - it,0
p74,5,7,solve the problem,customer,Resource - [the] problem,0
p74,10,13,find the problem ,customer,Resource - [the] problem,0
p74,11,14,evaluate the problem nature,customer,Resource - [the] [problem] nature,0
p74,13,15,advise the customer,customer,Actor - [the] customer,0
p75,2,3,review the request,open mms relay,Resource - [the] request,0
p76,3,4,evaluate the overtime registration,employee,Actor - [the] [overtime] registration,0
p76,7,7,decline the request,employee,Resource - [the] request,0
p77,4,5,check the product type,customer,Meta-Actor - [the] [product] type,0
p77,8,9,deliver the goods to the warehouse,customer,Resource - [the] goods,0
p77,9,10,receive the goods,customer,Resource - [the] goods,0
p77,14,14,receive the goods,customer,Resource - [the] goods,0
p78,2,3,review the application,student,Resource - [the] application,0
p78,7,11,accept the application,student,Resource - [the] application,0
p78,8,13,evaluate the minimum standard to not meet ,student,Resource - [the] [minimum] standard,0
p78,11,17,write the rejection letter,student,Actor - [the] [rejection] letter,0
p78,14,22,receive the letter,student,Actor - [the] letter,0
p79,0,1,view the products,customer,Resource - [the] products,0
p79,1,2,greet the customer,customer,Actor - [the] customer,0
p79,2,3,ask the special order,customer,Meta-Actor - [the] [special] order,0
p79,3,4,review the special list,customer,Resource - [the] [special] list,0
p79,4,5,provide the specials,customer,Resource - [the] specials,0
p79,5,6,order the food,customer,Resource - [the] food,0
p8,3,3,take the item,department,Resource - [the] item,0
p8,4,4,conduct the available item,department,Resource - [the] [available] item,0
p8,7,7,check the purchase requisition,department,Resource - [the] [purchase] requisition,0
p80,5,5,identify the training groups,employee,Resource - [the] [training] groups,0
p80,6,6,identify the extended workshops,employee,Resource - [the] [extended] workshops,0
p80,7,8,attend the training,employee,Resource - [the] training,0
p80,9,10,evaluate the performance,employee,Resource - [the] performance,0
p81,2,3,analyze the order,salesman,Meta-Actor - [the] order,0
p81,4,5,reject the order,salesman,Meta-Actor - [the] order,0
p81,6,7,accept the order,salesman,Meta-Actor - [the] order,0
p81,7,8,check the stock,salesman,Meta-Actor - [the] stock,0
p81,11,12,purchase the raw material,salesman,Actor - [the] [raw] material,0
p81,12,13,plan the production,salesman,Resource - [the] production,0
p81,13,15,make the products,salesman,Resource - [the] products,0
p82,3,3,create the consignment pipeline liability,accountant,Resource - [the] [consignment] [pipeline] liability,0
p82,4,4,settle the consignment pipeline liability,accountant,Resource - [the] [consignment] [pipeline] liability,0
p82,5,6,transmit the consignment pipeline settlement document,accountant,Resource - [the] [consignment] [pipeline settlement] document,0
p82,7,8,plan the invoice settlement,accountant,Meta-Actor - [the] [invoice] settlement,0
p82,11,10,create the purchase order,accountant,Resource - [the] [purchase] order,0
p82,12,12,process the invoice,accountant,Resource - [the] invoice,0
p82,13,13,evaluate the receipt settlement,accountant,Meta-Actor - [the] [receipt] settlement,0
p82,17,17,release the invoice,accountant,Resource - [the] invoice,0
p82,19,19,release the material,accountant,Actor - [the] material,0
p82,20,20,release the invoice manually,accountant,Resource - [the] invoice,0
p83,3,3,start the production,salesman,Resource - [the] production,0
p83,5,5,purchase the raw material,salesman,Actor - [the] [raw] material,0
p83,6,6,plan the production,salesman,Resource - [the] production,0
p83,7,8,produce the articles,salesman,Resource - [the] articles,0
p83,10,11,stop the billing,salesman,Resource - [the] blling,0
p83,11,12,starts the billing,salesman,Resource - [the] billing,0
p83,14,15,check the account status,salesman,Resource - [the] [account] status,0
p83,15,16,produce the articles,salesman,Resource - [the] articles,0
p84,0,1,pick a gun,assassin,Actor - [a] gun,0
p84,1,2,load the gun,assassin,Actor - [the] gun,0
p84,2,3,pull the trigger,assassin,Resource - [the] trigger,0
p84,3,4,strike the firing pin,assassin,Resource - [the] [firing] pin,0
p84,5,5,fire the gun,assassin,Actor - [the] gun,0
p84,6,6,Assassin the victim,assassin,Actor - [the] victim,0
p84,7,7,get the dead,assassin,Resource - [the] dead,0
p84,8,8,misfire the gun,assassin,Actor - [the] gun,0
p85,2,3,understand the requirement specification,customer,Resource - [the] [requirement] specification,0
p85,10,10,prepare the item,customer,Resource - [the] item,0
p86,3,4,provide the personal information,customer,Resource - [the] [personal] information,0
p86,5,5,gather the customer information,customer,Resource - [the] [customer] information,0
p86,6,6,perform the customer information inquiry,customer,Resource - [the] [customer information] inquiry,0
p86,8,9,check the service requirments,customer,Resource - [the] [service] requirments,0
p86,9,10,check the service availability,customer,Resource - [the] [service] availability,0
p86,11,11,find the available service,customer,Meta-Actor - [the] [available] service,0
p86,12,12,reject the request,customer,Resource - [the] request,0
p87,4,5,review the request,customer,Resource - [the] request,0
p87,9,9,reject the request,customer,Resource - [the] request,0
p87,10,10,send the rejection letter,customer,Actor - [the] [rejection] letter,0
p87,11,11,receive the rejection letter,customer,Actor - [the] [rejection] letter,0
p88,1,2,open the customer inquiry,excise department,Resource - [the] [customer] inquiry,0
p88,4,5,determine the tax,excise department,Resource - [the] tax,0
p88,5,6,determine the vehicle price,excise department,Resource - [the] [vehicle] price,0
p88,6,8,determine the markup discounts,excise department,Resource - [the] [markup] discounts,0
p88,7,9,perform the export check,excise department,Resource - [the] [export] check,0
p88,9,10,forbid the export,excise department,Resource - [the] export,0
p88,10,11,perform the export control,excise department,Resource - [the] [export] control,0
p88,11,12,process the required documents,excise department,Resource - [the] [required] documents,0
p88,12,13,supervise the customer order,excise department,Meta-Actor - [the] [customer] order,0
p88,13,14,ship the vehicle,excise department,Resource - [the] vehicle,0
p89,1,2,create the product demand list,inventory manager,Resource - [the] [product demand] list,0
p89,2,3,plan the production order,inventory manager,Resource - [the] [production] order,0
p89,3,4,create the production order list,inventory manager,Resource - [the] [production order] list,0
p89,4,5,review the production list,inventory manager,Resource - [the] [production] list,0
p89,6,6,reject the production schedule list,inventory manager,Resource - [the] [production schedule] list,0
p89,8,8,accept the production schedule list,inventory manager,Resource - [the] [production schedule] list,0
p89,9,9,manufacture the products,inventory manager,Resource - [the] products,0
p9,7,7,apologize to the customer,customer,,0
p9,8,8,bake the pizza,customer,Resource - [the] pizza,0
p9,9,9,deliver the pizza,customer,Resource - [the] pizza,0
p9,10,10,receive the pizza delivery,customer,Resource - [the] [pizza] delivery,0
p9,12,12,eat the pizza,customer,Resource - [the] pizza,0
p90,2,3,review the order,customer,Meta-Actor - [the] order,0
p90,4,5,reject the order,customer,Meta-Actor - [the] order,0
p90,7,8,accept the order,customer,Meta-Actor - [the] order,0
p90,13,12,purchase the raw material,customer,Actor - [the] [raw] material,0
p90,14,13,plan the production,customer,Resource - [the] production,0
p90,15,15,manufacture the products,customer,Resource - [the] products,0
p90,18,18,prepare the shipment,customer,Resource - [the] shipment,0
p90,19,19,ship the products,customer,Resource - [the] products,0
p91,0,1,receive the spare parts,inventory department,Resource - [the] [spare] parts,0
p91,2,2,prepare the receipt,inventory department,Resource - [the] receipt,0
p91,4,4,check the quality,inventory department,Resource - [the] quality,0
p91,4,5,receive spare parts,inventory department,Resource - [spare] parts,0
p91,11,13,demand spare parts,inventory department,Resource - [spare] parts,0
p92,4,5,review the detail,bank 1,Actor - [the] detail,0
p92,7,8,find the user transaction,bank 1,Resource - [the] [user] transaction,0
p92,12,13,conduct the transaction,bank 1,Resource - [the] transaction,0
p93,0,2,consult the website specification,domain registration team,Resource - [the] [website] specification,0
p93,1,3,prepare the proposal,domain registration team,Resource - [the] proposal,0
p93,1,4,document the specifications,domain registration team,Resource - [the] specifications,0
p93,2,5,conduct the kickoff meeting,domain registration team,Actor - [the] [kickoff] meeting,0
p93,3,6,design the website template,domain registration team,Resource - [the] [website] template,0
p93,5,7,design the wireframe,domain registration team,Resource - [the] wireframe,0
p93,6,8,design the information architecture,domain registration team,Resource - [the] [information] architecture,0
p93,7,10,assemble the contents,domain registration team,Resource - [the] contents,0
p93,9,11,design the graphics,domain registration team,Resource - [the] graphics,0
p93,10,12,design the animations,domain registration team,Resource - [the] animations,0
p93,11,15,take the client approval,domain registration team,Resource - [the] [client] approval,0
p93,17,21,decide the channel optimizations,domain registration team,Resource - [the] [channel] optimizations,0
p93,20,26,launch the website,domain registration team,Resource - [the] website,0
p94,4,5,evaluate the entered correctness,user,Resource - [the] [entered] correctness,0
p94,4,6,evaluate completnesses,user,Resource - completnesses,0
p95,0,1,enter in the hotel for dinner,customer,,0
p95,5,6,prepare the order,customer,Meta-Actor - [the] order,0
p95,6,8,handovers the order to the customer,customer,Meta-Actor - [the] order,0
p95,10,11,allocate the seat,customer,Resource - [the] seat,0
p95,11,12,provide the menu,customer,Resource - [the] menu,0
p95,13,15,forwards the order,customer,Meta-Actor - [the] order,0
p95,14,16,cook the meal,customer,Resource - [the] meal,0
p95,16,18,eat the meat,customer,Resource - [the] meat,0
p95,17,19,complete the dine,customer,Resource - [the] dine,0
p95,18,20,issue the bill,customer,Resource - [the] bill,0
p96,2,3,review the order,customer,Meta-Actor - [the] order,0
p96,4,5,reject the order,customer,Meta-Actor - [the] order,0
p96,7,8,accept the order,customer,Meta-Actor - [the] order,0
p96,14,12,plan the production,customer,Resource - [the] production,0
p96,18,15,make the production,customer,Resource - [the] production,0
p96,19,17,ship the products,customer,Resource - [the] products,0
p97,0,1,prepare a product requisition,production manager,Resource - [a] [product] requisition,0
p97,6,7,create the testing plan,production manager,Resource - [the] [testing] plan,0
p97,11,13,identify the reasons,production manager,Resource - [the] reasons,0
p97,11,14,identify the reasons,production manager,Resource - [the] reasons,0
p97,12,15,make the correction,production manager,Resource - [the] correction,0
p97,15,19,promote the product,production manager,Resource - [the] product,0
p97,15,20,promote the product,production manager,Resource - [the] product,0
p97,16,21,launch the product,production manager,Resource - [the] product,0
p97,16,22,launch the product,production manager,Resource - [the] product,0
p98,3,3,find the possible request,person,Resource - [the] [possible] request,0
p98,4,4,reject the request,person,Resource - [the] request,0
p98,9,9,make the statments,person,Resource - [the] statments,0
p98,9,10,give fact,person,Resource - fact,0
p99,3,3,check the bill information,production manager,Resource - [the] [bill] information,0
p99,5,5,find the need,production manager,Resource - [the] need,0
p99,6,6,starts the billing,production manager,Resource - [the] billing,0
p99,11,12,conduct the production start,production manager,Resource - [the] [production] start,0
p99,13,13,plan the production,production manager,Resource - [the] production,0
p99,14,14,purchase the raw material,production manager,Actor - [the] [raw] material,0
p99,15,16,finish the production,production manager,Resource - [the] production,0
p99,16,17,ship the products,production manager,Resource - [the] products,0
p11,8,9,process the credit card,retailer,Resource - [the] [credit] card,0
p110,9,9,issue the credit report,customer,Resource - [the] [credit] report,0
p59,4,5,import the product,,Resource - [the] product,0
p69,11,13,display the list,student,Resource - [the] list,0
p39,7,9,verify the payment,customer,Resource - [the] payment,0
p99,8,8,verify the payments,production manager,Resource - [the] payments,0
p46,1,2,open the ticket,level support,Resource - [the] ticket,0
p46,10,12,close the ticket,level support,Resource - [the] ticket,0
p74,2,3,assign the ticket,customer,Resource - [the] ticket,0
p116,2,3,open the ticket,customer,Resource - [the] ticket,0
p59,0,1,open a project workspace,,Resource - [a] [project] workspace,0
p150,6,7,fill the application form,applicant,Resource - [the] [application] form,0
p89,10,10,fulfill the order,inventory manager,Meta-Actor - [the] order,0
p87,6,6,accept the request,customer,Resource - [the] request,0
p1,7,10,check the ticket,customer,Resource - [the] ticket,0
p86,15,15,check the customer credit,customer,Resource - [the] [customer] credit,0
p94,0,1,visit a website,user,Resource - [a] website,0
p96,8,9,check the availability,customer,Resource - [the] availability,0
p97,4,5,check the assessment detail,production manager,Actor - [the] [assessment] detail,0
p98,1,2,check the legal grounds,person,Resource - [the] [legal] grounds,0
p98,14,13,check the completeness,person,Resource - [the] completeness,0
p98,10,11,identify the application legislation,person,Resource - [the] [application] legislation,0
p145,8,6,complete the application,applicant,Resource - [the] application,0
p22,0,1,generate an order,customer,Meta-Actor - [an] order,0
p22,1,2,complete the order,customer,Meta-Actor - [the] order,0
p62,7,8,accomplish the support,customer,Actor - [the] support,0
p74,6,8,complete the ticket,customer,Resource - [the] ticket,0
p79,8,9,accomplish the order,customer,Meta-Actor - [the] order,0
p83,17,18,complete the billing,salesman,Resource - [the] billing,0
p130,1,3,prepare the developmental needs,expert,Resource - [the] [developmental] needs,0
p100,3,3,find the qualiy ok,,Resource - [the] [qualiy] ok,0
p103,9,8,find the order cannot be fulfilled,manufacturer,,0
p143,7,11,examine board,applicant,Actor - board,0
p124,2,3,check the available or not funds,customer,Resource - [the] [available or not] funds,0
p86,16,16,perform the pre-order validation results,customer,Resource - [the] [pre-order] [validation] results,0
p101,13,14,take the extra insurance,worker,Resource - [the] [extra] insurance,0
p109,10,10,assign the emergency contact to the duty officer\/contractor \/,customer,Meta-Actor - [the] [emergency] contact,0
p138,6,7,take the decision,hospital administration,Resource - [the] decision,0
p37,0,1,arrive at the clinic,receptionist,,0
p68,0,1,arrive a hospital,doctor,Actor - [a] hospital,0
p78,13,20,write the acceptance letter,student,Actor - [the] [acceptance] letter,0
p83,18,21,ship the warehouse ships,salesman,Resource - [the] [warehouse] ships,0
p85,6,6,wait for to unload item,customer,,0
p94,1,2,show the login page to the user,user,Actor - [the] [login] page,0
p95,1,2,arrive at the inquiry desk,customer,,0
p95,15,17,serve as the meal,customer,,0
p97,2,3,complete the detailed assessment,production manager,Resource - [the] [detailed] assessment,0
p98,19,17,take the further decision,person,Resource - [the] [further] decision,0
p118,10,11,send the invoice,bank,Resource - [the] invoice,2
p118,11,12,receive the logging invoice,bank,Resource - [the] [lodging] invoice,2
p118,13,14,send the invoice,bank,Resource - [the] invoice,2
p118,14,15,receive the activity invoice,bank,Resource - [the] [activity] invoice,2
p118,16,17,send the invoice,bank,Resource - [the] invoice,2
p118,17,18,receive the airline invoice,bank,Resource - [the] [airline] invoice,2
p119,0,1,received a claim,clerk,Resource - [a] claim,2
p139,1,2,send the documents to the hospital administration,inquiry section,Resource - [the] documents,2
p147,14,18,send the application,applicant,Resource - [the] application,2
p147,15,19,receive the application,applicant,Resource - [the] application,2
p147,24,28,receive the application,applicant,Resource - [the] application,2
p147,40,40,send the rejection,applicant,Resource - [the] rejection,2
p148,1,2,send the documents,applicant,Resource - [the] documents,2
p148,2,3,receive the documents,applicant,Resource - [the] documents,2
p149,3,4,send the documents,university administration,Resource - [the] documents,2
p149,4,5,receive the documents,university administration,Resource - [the] documents,2
p150,15,17,send the application,applicant,Resource - [the] application,2
p150,15,18,send documentses,applicant,Resource - documentses,2
p150,16,19,receive the application,applicant,Resource - [the] application,2
p150,16,20,receive checks,applicant,Resource - checks,2
p150,21,28,send the application to the selection committee,applicant,Resource - [the] application,2
p150,22,29,receive the application,applicant,Resource - [the] application,2
p19,3,4,receive the order,customer,Meta-Actor - [the] order,2
p2,14,14,send the tution bill to the student,student,Resource - [the] [tution] bill,2
p2,16,16,receive the bill,student,Resource - [the] bill,2
p22,11,13,send the invoice,customer,Resource - [the] invoice,2
p37,7,8,receive the prescription process,receptionist,Resource - [the] [prescription] process,2
p38,10,11,send the lodging invoice,bank,Resource - [the] [lodging] invoice,2
p38,11,12,receive the lodging invoice,bank,Resource - [the] [lodging] invoice,2
p38,13,14,send the airline invoice,bank,Resource - [the] [airline] invoice,2
p38,14,15,receive the airline invoice,bank,Resource - [the] [airline] invoice,2
p43,1,2,send form,trainee,Meta-Actor - form,2
p43,2,3,receive form ,trainee,,2
p51,9,10,send the order acceptance confirmation to the one provider,purchaser,Resource - [the] [order acceptance] confirmation,2
p73,11,13,receive the order,customer,Meta-Actor - [the] order,2
p81,15,17,send the invoice,salesman,Resource - [the] invoice,2
p82,8,9,receive the invoice,accountant,Resource - [the] invoice,2
p83,12,13,send the bill,salesman,Resource - [the] bill,2
p85,9,9,send the invoice,customer,Resource - [the] invoice,2
p90,20,20,send the bill,customer,Resource - [the] bill,2
p95,2,3,receive the inquiry,customer,Resource - [the] inquiry,2
p95,7,9,receive the request,customer,Resource - [the] request,2
p95,12,14,receive the meal order,customer,Meta-Actor - [the] [meal] order,2
p96,20,18,send the invoice,customer,Resource - [the] invoice,2
p99,9,10,clear the bill,production manager,Resource - [the] bill,2
p99,10,11,send the bill,production manager,Resource - [the] bill,2
p100,13,14,specify the reasons,,Resource - [the] reasons,2
p100,14,15,specify the required quality measures,,Resource - [the] [required] [quality] measures,2
p116,4,6,specify the requirments,customer,Resource - [the] requirments,2
p119,7,7,specify the requirments,clerk,Resource - [the] requirments,2
p120,12,14,pay the claim,customer,Resource - [the] claim,2
p123,13,12,specify the reasons,incoming goods department,Resource - [the] reasons,2
p125,6,6,specify the requirments,customer,Resource - [the] requirments,2
p126,2,3,specify the budget requirments,company,Resource - [the] [budget] requirments,2
p133,5,7,specify the registration requirments,user,Resource - [the] [registration] requirments,2
p149,2,3,pay for the aptitude test,university administration,,2
p18,6,6,setups the payroll,hiring manager,Actor - [the] payroll,2
p35,1,2,specify the vacancy requirment,department,Resource - [the] [vacancy] requirment,2
p36,0,1,request a book,borrower,Resource - [a] book,2
p40,0,1,request an application,customer,Resource - [an] application,2
p42,0,1,request a booking,customer,Resource - [a] booking,2
p50,4,5,conduct the catagorize request,,Resource - [the] [catagorize] request,2
p50,8,9,conduct the catagorize request,,Resource - [the] [catagorize] request,2
p51,0,1,request the quotes,purchaser,Resource - [the] quotes,2
p55,1,2,specify the vacancy requirment,business unit manager,Resource - [the] [vacancy] requirment,2
p57,9,9,request order,retailer,Meta-Actor - order,2
p82,0,1,specify a long contract,accountant,Resource - [a] [long] contract,2
p95,19,22,pay the bill,customer,Resource - [the] bill,2
p93,18,22,specify the channel optimization,domain registration team,Resource - [the] [channel] optimization,2
p93,18,23,specify the channel optimization,domain registration team,Resource - [the] [channel] optimization,2
p98,6,6,specify the request details,person,Resource - [the] [request] details,2
p98,7,7,specify the references,person,Resource - [the] references,2
p98,8,8,specify the urgencey,person,Resource - [the] urgencey,2
p21,9,8,inform to the cab driver,traveling agent,,2
p139,20,21,conduct the sen notification,inquiry section,Resource - [the] [sen] notification,2
p140,3,3,cancel the birth notification,hospital administration,Resource - [the] [birth] notification,2
p70,6,6,create the claims notification,customer,Resource - [the] [claims] notification,2
p115,13,13,get the new offer,travel agent,Resource - [the] [new] offer,2
p114,6,7,get the request,doctor,Resource - [the] request,2
p115,1,1,get the flight booking request,travel agent,Resource - [the] [flight booking] request,2
p117,8,9,get the info,customer,Resource - [the] info,2
p125,1,2,get the order request,customer,Resource - [the] [order] request,2
p17,4,5,get the authentication,supplier,Resource - [the] authentication,2
p2,17,19,get the registration,student,Actor - [the] registration,2
p10,9,10,make the payment,customer,Resource - [the] payment,2
p102,23,21,make the payment,food supplier,Resource - [the] payment,2
p106,4,5,find the pending payment,customer,Resource - [the] [pending] payment,2
p107,13,14,make the payment,customer,Resource - [the] payment,2
p107,21,21,take the payment,customer,Resource - [the] payment,2
p108,29,27,make the payment,ship officer,Resource - [the] payment,2
p11,12,14,reject the payment,retailer,Resource - [the] payment,2
p114,13,15,make the payment,doctor,Resource - [the] payment,2
p115,9,9,make the payment,travel agent,Resource - [the] payment,2
p12,10,11,perform the payments,employer,Resource - [the] payments,2
p123,7,7,make the payment,incoming goods department,Resource - [the] payment,2
p125,16,16,make the payment,customer,Resource - [the] payment,2
p134,7,7,make the payment,receiving department,Resource - [the] payment,2
p3,10,12,make the payment,customer,Resource - [the] payment,2
p37,9,11,make the payment,receptionist,Resource - [the] payment,2
p58,0,1,make a payment,buyer,Resource - [a] payment,2
p58,1,2,receive the payment,buyer,Resource - [the] payment,2
p9,11,11,make the payment,customer,Resource - [the] payment,2
